dataset,python_fit_time_sec,julia_fit_time_sec,python_dbcv,julia_dbcv,same_labels,same_probabilities,python_clusters,julia_clusters,python_noise,julia_noise,experiment,min_cluster_size,min_samples,alpha,cluster_selection_method,dbcv_difference,fit_time_difference
moons,0.00860330000068640007859777085741,0.67031569999999995879136349685723,0.78814188496314074861004428385058,0.78814188496314074861004428385058,True,True,2,2,74,74,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.66171239999931352748774315841729
varied,0.00732860000061909960811235009714,0.00642590000000000001467714838554,,,True,True,0,0,500,500,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00090270000061909959343520171160
aniso,0.00704720000067019999856476886180,3.03432810000000019456933841865975,,,True,True,0,0,500,500,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,3.02728089999932992171238765877206
blobs,0.00753299999996670001378706871265,0.00822810000000000034414693317331,,,True,True,0,0,500,500,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,0.00069510000003330033035986446066
no_structure,0.00719150000077199962750240658238,0.00633259999999999986103338400767,,,True,True,0,0,500,500,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,-0.00085890000077199976646902257471
heartfailure,0.00875369999994289951783521530615,0.82804290000000002613944616314257,,,True,True,0,0,425,425,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,0.81928920000005711621327009197557
cardiacarrest,0.00722339999992979969051232203014,0.56386309999999995046238154827734,,,True,True,0,0,422,422,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,0.55663970000007012561837882458349
neuroblastoma,0.00277540000024600018446729876587,0.60109740000000000392788024328183,,,True,True,0,0,169,169,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,0.59832199999975399506979556463193
sepsis,0.04256159999931689863483796898436,0.73768750000000005151434834260726,,,True,True,0,0,1257,1257,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,0.69512590000068319451287379706628
type1diabetes,0.00165670000205859991801449204729,0.63082559999999998634478970416239,,,True,True,0,0,67,67,baseline-200-50,200,50,1.00000000000000000000000000000000,eom,,0.62916889999794134435973091967753
circles,0.02687660000083259836944904463962,0.00401880000000000032339686484306,0.74855746322142391324661048201961,0.74855746322142391324661048201961,True,True,2,2,0,0,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.02285780000083259891341391778496
moons,0.00681299999996550029873754183996,0.00358500000000000007896461262646,0.90199760167693954215906160243321,0.90199760167693954215906160243321,True,True,2,2,0,0,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00322799999996550021977292921349
varied,0.00570760000118749992459310504955,0.00371179999999999990847876496503,0.44652902431128782545499689149437,0.44854832727142457393654240149772,False,False,3,3,58,58,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.00201930296013674848154551000334,-0.00199580000118750001611434008453
aniso,0.00633459999880859984944247997873,3.32936940000000003436753104324453,0.61814807631235746399056552036200,0.61854787843804404090519710734952,False,False,3,3,12,12,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.00039980212568657691463158698753,3.32303480000119133563885043258779
blobs,0.00618529999701420037105936700073,0.00529389999999999982110976404215,0.85434893199502248695154094093596,0.85434893199502248695154094093596,True,True,2,2,8,8,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,-0.00089139999701420054994960295858
no_structure,0.00589019999824810010918829661364,0.00963939999999999935775818471484,0.30295770534533988938008519653522,0.33639182769090408831047511739598,False,False,13,13,189,192,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.03343412234556419893038992086076,0.00374920000175189924856988810120
heartfailure,0.00662999999985910016403467537316,0.83880310000000002368381046835566,0.64803065256195024890217837310047,0.64803065256195024890217837310047,True,True,5,5,45,45,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,0.00000000000000000000000000000000,0.83217310000014088622322105948115
cardiacarrest,0.00672279999707820017512682753136,0.67645869999999996835526872018818,,,False,False,3,3,234,333,manhattan-10-5,10,5,1.00000000000000000000000000000000,eom,,0.66973590000292171353635239938740
